indicator_name,indicator_description,SOURCE_ORGANIZATION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,completeness_score
"Transport services (% of commercial service imports), TS","This indicator measures the percentage of commercial service imports accounted for by transport services, including passenger and freight transport, rental of transport equipment, and supporting services. It's important for understanding a country's trade dynamics and competitiveness. Typically used to analyze trade patterns, identify areas for improvement, and inform policy decisions.","Fonds monétaire international, rapport annuel des statistiques de la balance des paiements et fichiers de données.",46.8657195183188,49.5798109916535,51.2677903420595,45.9775686261133,46.0217798236299,43.2727991196693,43.830538196275,46.5290035926136,47.9687405955213,44.2961505634689,46.4422530786608,48.4429017752383,53.2309184062634,49.2017177609648,100.0
"Imports of goods from developing countries in the region (% of total merchandise imports), IDM","This indicator measures the share of total merchandise imports originating from developing countries within a region, highlighting intraregional trade dynamics. It's important for understanding regional economic integration and cooperation. Typically used to inform trade policies, identify opportunities for regional growth, and monitor progress towards development goals.",Estimations du personnel de la Banque mondiale se fondant sur les données de la base de données Direction of Trade du Fonds monétaire international.,7.12480987669047,7.11037122950072,6.39861188834065,7.59731176280816,6.5416111201473,4.90064952904382,3.10362093007795,2.87147571797194,3.32265555489662,2.99457554258345,3.38252426283482,,,,78.57142857142857
"Imports of goods from developing countries in South Asia (% of total merchandise imports), IMSA","This indicator measures the percentage of total merchandise imports originating from developing economies in South Asia. It's important for tracking trade relationships and economic integration within the region. Typically used by policymakers, researchers, and businesses to analyze trade patterns, identify opportunities, and inform investment decisions.",Estimations du personnel de la Banque mondiale se fondant sur les données de la base de données Direction of Trade du Fonds monétaire international.,1.71667993323768,1.49251751561784,1.31231136327476,1.52781505263888,1.23471314491198,1.25180763451801,1.6927693393551,1.58292991546255,1.59189901627797,2.49972529868946,1.45929016864796,,,,78.57142857142857
"Imports of goods from developing countries in East Asia and the Pacific (% of total merchandise imports), IMGEAP","This indicator measures the percentage of total merchandise imports originating from developing economies in East Asia and the Pacific. It highlights the importance of regional trade relationships and economic integration. Typically used to analyze trade patterns, identify opportunities, and inform policy decisions promoting economic cooperation and development.",Estimations du personnel de la Banque mondiale se fondant sur les données de la base de données Direction of Trade du Fonds monétaire international.,9.20652945333919,7.72642791772582,8.31439445307604,8.16108909195635,8.87607473501872,9.98567934819032,10.8146650629322,10.6049668897028,11.1350836983619,11.5456969547111,11.7688040806691,,,,78.57142857142857
Arab World Imports (% of total merchandise imports),"This indicator measures the share of total merchandise imports originating from Arab World economies, expressed as a percentage of total merchandise imports. It's important for tracking regional trade patterns and economic integration. Typically used by policymakers, researchers, and businesses to inform trade policies, investment decisions, and market strategies.",Estimations du personnel de la Banque mondiale se fondant sur les données de la base de données Direction of Trade du Fonds monétaire international.,13.5700280914656,15.0917830868381,14.1941232556889,14.9427689126774,13.4809129097242,9.48590085105608,7.00205250364659,6.39652622037436,7.6728483065139,7.61717013694637,10.8873932980968,,,,78.57142857142857
"Imports of ICT goods (% of total goods imports), ICTG","This indicator measures the percentage of total goods imports accounted for by Information and Communication Technology (ICT) goods, such as telecommunications, computers, and electronic components. It's important for tracking a country's reliance on ICT imports and its potential for digital development. Typically used to inform trade and investment policies.",Base de données UNCTADstat de la Conférence des Nations Unies sur le commerce et le développement à l'adresse suivante http://unctadstat.unctad.org/ReportFolders/reportFolders.aspx.,5.87,4.78,3.51,3.61,3.8,4.02,3.94,3.95,3.94,4.03,4.76,4.08,3.64,,92.85714285714286
Import unit value index (2015 = 100),"This indicator measures the average price of imported goods, relative to a 2015 base year. It's important for tracking inflation, trade competitiveness, and economic performance. Typically used by policymakers, researchers, and businesses to analyze trade trends, forecast prices, and inform investment decisions.",,117.8,137.3,111.9,111.5,111.4,100.0,96.8,104.4,113.0,107.8,105.2,127.3,142.4,139.0,100.0
"Bound rate, simple mean, all products, %, BNK_MR_SMPL Avg","This indicator measures the simple average of most-favored-nation (MFN) tariff rates across all products, providing a comprehensive view of a country's trade policy. It's essential for assessing trade liberalization, competitiveness, and market access. Typically used by policymakers, researchers, and businesses to inform trade decisions and negotiations.","Estimations du personnel de la Banque mondiale utilisant le système World Integrated Trade Solution, en fonction de la base de données du système d'analyse et d'informations commerciales (TRAINS) de la conférence des Nations Unies sur le commerce et le développement, ainsi que de la base de données intégrée (BDI) et des listes de tarifs codifiés (CTS) de l'Organisation mondiale du commerce (OMC).",27.43,26.32,25.93,,18.31,18.87,18.87,18.95,,18.93,18.93,20.21,,,71.42857142857143
"Extent of Central Bank Assets to GDP (%), CBA2GDP","This indicator measures the percentage of a country's GDP represented by central bank assets, reflecting the bank's role in stabilizing the economy and implementing monetary policy. It's important for assessing a country's financial stability and is typically used by policymakers, researchers, and investors to inform economic decisions.","Estimations du personnel de la Banque mondiale utilisant le système World Integrated Trade Solution, en fonction de données de l'Organisation mondiale du commerce (OMC).",100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,99.92,99.92,99.92,,,71.42857142857143
"Most Favored Nation Tariff Rate, Simple Average, All Products (%), MFNTR","This indicator measures the simple average of Most Favored Nation (MFN) tariff rates applied to all products, providing a comprehensive view of a country's trade policy. It's essential for assessing trade openness, competitiveness, and economic integration. Typically used by policymakers, researchers, and businesses to inform trade decisions and strategies.","Estimations du personnel de la Banque mondiale utilisant le système World Integrated Trade Solution, en fonction de la base de données du système d'analyse et d'informations commerciales (TRAINS) de la conférence des Nations Unies sur le commerce et le développement, ainsi que de la base de données intégrée (BDI) et des listes de tarifs codifiés (CTS) de l'Organisation mondiale du commerce (OMC).",16.84,14.27,12.94,,11.15,11.55,11.54,11.53,,11.53,11.53,14.39,,,71.42857142857143
"Scope of consolidation, all products (%)","This indicator measures the percentage of product lines with agreed consolidated tariffs, resulting from trade negotiations incorporated into a country's concession list. It reflects the scope of tariff consolidation, crucial for trade facilitation and predictability. It's used to monitor trade liberalization progress and identify areas for further tariff consolidation.","Estimations du personnel de la Banque mondiale utilisant le système World Integrated Trade Solution, en fonction de données de l'Organisation mondiale du commerce (OMC).",100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,99.98,99.98,99.98,,,71.42857142857143
"Bound rate, simple mean, all products, %","This indicator measures the simple mean of most-favored-nation (MFN) tariff rates across all products, providing a comprehensive view of a country's trade policy. It's essential for assessing trade liberalization, competitiveness, and market access. Typically used by policymakers, researchers, and businesses to inform trade decisions and negotiations.","Estimations du personnel de la Banque mondiale utilisant le système World Integrated Trade Solution, en fonction de la base de données du système d'analyse et d'informations commerciales (TRAINS) de la conférence des Nations Unies sur le commerce et le développement, ainsi que de la base de données intégrée (BDI) et des listes de tarifs codifiés (CTS) de l'Organisation mondiale du commerce (OMC).",13.74,10.75,9.13,,9.1,9.07,9.07,9.03,,9.03,9.03,12.47,,,71.42857142857143
"Extent of Consolidation, Manufactured Products (%)","This indicator measures the percentage of product lines with agreed consolidated tariffs, resulting from trade negotiations and incorporated into a country's concession list. It's important for assessing trade liberalization and market access. Typically used by policymakers and researchers to evaluate trade agreements' impact on manufactured goods trade.","Estimations du personnel de la Banque mondiale utilisant le système World Integrated Trade Solution, en fonction de données de l'Organisation mondiale du commerce (OMC).",100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,,,71.42857142857143
"International Tourism, Expenditure ($ US current), ITX","This indicator measures international tourism expenditure in US dollars, capturing spending by outbound tourists in other countries, including international transportation costs. It's essential for understanding a country's tourism revenue and its contribution to the economy. Typically used to inform tourism development strategies, investment decisions, and economic policy-making.","Annuaire des statistiques sur le tourisme, recueil de statistiques et fichiers de données de l’Organisation mondiale du tourisme.",1879000000.0,2260000000.0,2095000000.0,2002000000.0,2273000000.0,2155000000.0,2312000000.0,2829000000.0,2987000000.0,3102000000.0,1509000000.0,,,,78.57142857142857
"International tourism, expenditures for passenger transport items (current US$), ITPTR","This indicator measures international tourism expenditures on passenger transport services, including fares, excess baggage, and onboard expenses. It's important for understanding the economic impact of tourism on transportation industries and national economies. Typically used by policymakers, researchers, and industry stakeholders to inform tourism development strategies and investment decisions.","Annuaire des statistiques sur le tourisme, recueil de statistiques et fichiers de données de l’Organisation mondiale du tourisme.",1474000000.0,1780000000.0,1794000000.0,1350000000.0,1686000000.0,1505000000.0,1365000000.0,1592000000.0,1746000000.0,1762000000.0,666000000.0,,,,78.57142857142857
"International Tourism, Number of Arrivals (ITA)","This indicator measures the number of international tourists arriving in a country, excluding those traveling for work or staying longer than 12 months. It's essential for understanding a country's tourism industry, economic impact, and infrastructure needs. Typically used to inform tourism policies, investment decisions, and national development strategies.","Annuaire des statistiques sur le tourisme, recueil de statistiques et fichiers de données de l’Organisation mondiale du tourisme.",9752000.0,9784000.0,9830000.0,10349000.0,10507000.0,10542000.0,10677000.0,11540000.0,12489000.0,13109000.0,2802000.0,,,,78.57142857142857
"Urban population growth rate (% per annum), UPG","This indicator measures the annual growth rate of urban population, defined as people living in urban areas as designated by national statistical offices. It's crucial for understanding urbanization trends, infrastructure planning, and resource allocation. Typically used by policymakers, researchers, and development practitioners to inform urban development strategies and investments.",Estimations du personnel de la Banque mondiale utilisant les Perspectives des Nations Unies de l'urbanisation de la population mondiale.  ,2.28869695421819,2.30837846881745,2.30686506905046,2.28330351486545,2.23507317556878,2.16662594042245,2.12520322523312,2.08075383299536,1.99438319842915,1.90610808199994,1.90358401884694,1.88693234929498,1.8488198994254,1.82429599973334,100.0
'Female population (% of total)'; FEMPOP,"This indicator measures the percentage of females in a country's total population. It's essential for understanding demographic structures, gender disparities, and social and economic development. Typically used to inform policies on education, healthcare, and labor force participation, and to monitor progress towards gender equality and sustainable development goals.","Source : Division des Nations Unies pour la population. 2009. World Population Prospects: The 2008 Revision (Perspectives relatives à la population mondiale : révision de 2008). New York, Nations Unies, Département des affaires économiques et sociales (tableurs Excel avancés). Disponible à l'adresse http://esa.un.org/unpd/wpp2008/index.htm.",49.7990458300073,49.7756194523904,49.7552198179375,49.7366295534783,49.7181914252094,49.6990437669537,49.6826725090283,49.6695870298776,49.6560727516025,49.6430653820329,49.6441145536296,49.6564678126766,49.6706108294013,49.6882852461799,100.0
"Researchers in R&D (per million people), RES.TECH.PERS.MLN","This indicator measures the number of researchers engaged in R&D activities per million people, including professionals and PhD students creating new knowledge, products, and systems. It's essential for assessing a country's innovation capacity and competitiveness. Typically used to compare national R&D investments and human capital across countries.","Institut des statistiques de l’Organisation des Nations Unies pour l'éducation, la science et la culture (UNESCO).",721.877136230469,848.029235839844,853.229309082031,,1029.25158691406,,1080.70678710938,,,,,,,,35.714285714285715
"Inactivity Rate of Working-Age Population (% of working-age population), INAC","This indicator measures the percentage of the working-age population (15-64 years) that is not engaged in the labor market, including those not employed, unemployed, or outside the labor force. It's important for understanding labor market dynamics and informing policies to promote economic growth and social inclusion.",Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.,51.7138880540787,51.4228395713678,51.2331478962185,51.1150231016457,51.1052287233064,51.1897666285181,51.295387251351,51.4534935520359,51.6861892252702,51.9191058265118,52.0748865182448,52.154787028307,52.2180830243835,52.2361978876769,100.0
"Population aged 75-79, male (% of male population), M7549","This indicator measures the proportion of males aged 75-79 within the total male population, providing insights into aging demographics and healthcare needs. It's essential for policymakers to allocate resources, plan healthcare services, and develop targeted social programs for this vulnerable age group.",Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.,0.90288048501651,0.896341357703325,0.893268680162055,0.893095507260639,0.892283449734121,0.895150832331973,0.908243240822061,0.92955287481916,0.95410210025587,0.983519854583139,1.01744220662826,1.05371558460045,1.09940565556539,1.15816673889511,100.0
"Population aged 65 and above (% of total), A65P","This indicator measures the percentage of a country's total population aged 65 and above, reflecting the proportion of elderly citizens. It's important for understanding demographic trends, healthcare needs, and pension system sustainability. Typically used to inform policy decisions on aging populations, healthcare resource allocation, and social security planning.",Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.,5.15267967385665,5.26398111045205,5.38919822575857,5.52447817761031,5.68052358689603,5.86796027895595,6.08584032760058,6.33077080406279,6.59479722934327,6.87411852128423,7.15127378958437,7.42492340415013,7.72048368183749,8.02846450178546,100.0
"""Population aged 65 and above, female (% of total)"" - AGER65_FE","This indicator measures the percentage of a country's total population that is female and aged 65 or older. It's important for understanding demographic trends, healthcare needs, and social security systems. Typically used to inform policies on aging populations, pension systems, and healthcare resource allocation.",,5.51459984426486,5.64856758169081,5.79171825270444,5.93538154454402,6.09411270220002,6.28346512061832,6.50356746303095,6.75173069499579,7.02014905557906,7.30591571558876,7.5969337671176,7.89288575262243,8.20905423514234,8.53546246786624,100.0
"Male population aged 50-64 (% of male population), SP.MALE.5064","This indicator measures the proportion of males aged 50-64 within the total male population, providing insight into the demographic structure and aging population trends. It's essential for policymakers to understand labor market, pension, and healthcare implications. Typically used for population projections, policy planning, and resource allocation.",Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.,2.66523034700907,2.82919380107789,3.00130256352235,3.17017594000327,3.32667433838941,3.47099635749787,3.60485810487853,3.72614150650508,3.83770232405906,3.9421749072499,4.01662390968617,4.06516500378261,4.10104449478177,4.12025953074685,100.0
"Population aged 50-54, male (% of male population), M5044","This indicator measures the proportion of males aged 50-54 within the total male population, providing insight into demographic structure and aging trends. It's important for understanding labor market, pension, and healthcare demands. Typically used in policy-making, research, and development planning to inform strategies for aging populations.",Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.,4.78679102144159,4.86646555138625,4.93515109808468,4.98789873950549,5.02654723059888,5.0594046227022,5.08582023026106,5.10702252191958,5.13466892828788,5.17622826412506,5.22433720545803,5.27689533449736,5.33589202162827,5.39825781370503,100.0
"Population aged 40-44, male (% of male population), M4044","This indicator measures the proportion of males aged 40-44 within the total male population, providing insights into demographic structure and aging trends. It's essential for understanding labor force, pension, and healthcare demands. Typically used in population projections, policy planning, and resource allocation decisions.",Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.,6.05088874042869,6.09023973870484,6.13831866427684,6.19517324442557,6.25565267896407,6.31751013866639,6.37798568941536,6.43789639725176,6.5037330019041,6.57748628669304,6.65284128416869,6.72980113270019,6.80232584044615,6.8632192535388,100.0
"Population aged 30-34, male (% of male population), M3044","This indicator measures the proportion of males aged 30-34 within the total male population, providing insight into demographic structure and labor market potential. It's important for understanding workforce composition, human capital, and economic growth. Typically used in labor market analysis, population projections, and development policy planning.",Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.,7.72597460545285,7.7821762185331,7.83564343224652,7.88084216439116,7.91513840487359,7.93548915590049,7.94399717204094,7.93523890810512,7.89779801540527,7.84213019881837,7.79651112565572,7.75735102471313,7.70536359145971,7.64300542355462,100.0
"Population aged 20-24, male (% of male population), M2024","This indicator measures the proportion of males aged 20-24 within the total male population, providing insight into the demographic structure and youth bulge. It's important for understanding labor market, education, and health trends. Typically used to inform policies on youth development, employment, and social services.",Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.,9.61873573109092,9.5130884028097,9.39100679782051,9.25275878840728,9.08551551299802,8.8705348508381,8.63639879827024,8.42292876026557,8.23029614116409,8.05348809866038,7.9349038774436,7.86872665599931,7.80366954432462,7.74386173571869,100.0
"'Male population ages 15-64 (% of total)', Males 15-64","This indicator measures the percentage of males aged 15-64 in the total population, representing the working-age male population. It's important for understanding labor market dynamics, economic growth, and social security systems. It's typically used to inform policy decisions on education, employment, and healthcare, and to analyze demographic trends.",,65.6828165396874,65.8518791920175,65.9721272411456,66.0524447594909,66.0803404391325,66.0662335546549,66.04058248054,65.987933358747,65.898643358994,65.8060906684366,65.7471741745962,65.7268080967711,65.7146333022992,65.7226946215999,100.0
"Male population aged 15-19 (% of male population), MAL1519","This indicator measures the proportion of males aged 15-19 within the total male population, providing insights into youth demographics and labor market potential. It's essential for policymakers to understand this age group's size and characteristics, informing decisions on education, employment, and social services.",Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.,9.96244739739516,9.68987084615795,9.43355135816773,9.21142757794928,9.01136397884026,8.84000391639775,8.70453621762966,8.56693836262072,8.41807686268612,8.29412103680349,8.21583282796451,8.17445112986343,8.17325971994606,8.21215207467832,100.0
"Male population aged 5-9 (% of male population), MAL0514","This indicator measures the proportion of males aged 5-9 within the total male population, providing insights into demographic structure and youth population dynamics. It's essential for policymakers and researchers to understand population growth, education, and healthcare needs. Typically used in development planning, resource allocation, and social policy analysis.",Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.,9.65277740280943,9.53631286386741,9.458933683357,9.4193784492212,9.41439363765378,9.43632305282746,9.47202684806227,9.51093917374079,9.54452622057883,9.54678854826359,9.5032837967246,9.40210642397219,9.25628281815844,9.09071975641528,100.0
"'Male population ages 0-14 (% of total)', MPO014T","This indicator measures the percentage of the total population that is male and aged 0-14, providing insight into a country's demographic structure and youth population. It's important for understanding labor market, education, and healthcare demands. Typically used in population projections, policy planning, and development strategies.",,29.5235264275781,29.2652898175836,29.0372726033679,28.8296743318381,28.6480891121484,28.4763389844033,28.2860355255988,28.0967286399341,27.9260996101136,27.7454667791903,27.5409126820113,27.3098442846632,27.047058491538,26.7495564326154,100.0
"""Males aged 0-4 as a percentage of the male population"" (M034)","This indicator measures the proportion of males aged 0-4 within the total male population, providing insights into population structure and demographic trends. It's essential for policymakers to understand youth demographics, plan education and healthcare systems, and allocate resources effectively. It's typically used in population projections, development planning, and social policy analysis.",Estimations établies par le personnel de la Banque mondiale à partir des données désagrégées par âge/sexe des Perspectives de la population mondiale publiées par la Division de la population de l'ONU.,10.1437708403998,10.1650373892341,10.1855090822596,10.1940921882865,10.1654962131007,10.0926922838366,9.96124746190023,9.78646777820799,9.59942379523334,9.39957919320412,9.19061728753237,8.99564885533399,8.81064118841729,8.62040451727653,100.0
"Survival to age 65, female (% of cohort)","This indicator measures the percentage of females in a birth cohort who would survive to age 65, assuming current age-specific mortality rates. It's essential for understanding population aging, healthcare, and social security systems. Typically used to inform policy, track progress, and compare countries' health and demographic trends.","Division des Nations Unies pour la population. Perspectives pour la population mondiale. New York, Nations Unies, Département des affaires sociales et économiques (tableaux Excel avancés). Disponible à l’adresse http://esa.un.org/wpp/unpp/panel_population.htm.",78.937566,79.852126,80.694194,81.443831,82.122166,82.750772,83.380255,84.12035,84.744479,85.271585,85.027408,85.084479,86.228285,,92.85714285714286
Domestic private health expenditure per capita (current US$),"This indicator measures the average amount spent by individuals and private entities on healthcare per person within a country, in current US dollars. It's important for understanding healthcare financing and access, and is typically used to track healthcare affordability, compare healthcare systems, and inform policy decisions.",,100.41720791,102.70413243,96.09345568,99.57935411,113.51015879,97.63084282,97.59800301,99.88104466,104.51275472,104.08644979,107.60020387,127.19197155,,,85.71428571428571
Out-of-pocket expenditure (% of current health expenditure),"This indicator measures the percentage of current health expenditure paid directly by individuals, rather than through insurance or government programs. It's important as high out-of-pocket expenditure can lead to financial hardship and unequal access to healthcare. It's typically used to monitor healthcare financing equity and affordability.",,55.61273193,54.24003983,52.74585342,51.66726685,49.15629196,48.95444107,48.8467865,47.96567535,46.98527527,46.1103363,43.6934967,44.75625992,,,85.71428571428571
Domestic general government health expenditure (% of GDP),"This indicator measures the percentage of a country's GDP spent by its government on healthcare, including funding for public health programs, healthcare facilities, and medical research. It's essential for evaluating a country's commitment to healthcare and informing policy decisions to improve health outcomes and allocate resources effectively.",,2.16227508,2.2546432,2.33175611,2.32684731,2.09785223,1.98215687,2.00518847,1.98112547,1.9875257,2.02342105,2.46564341,2.22957587,,,85.71428571428571
External health expenditure (% of current health expenditure),"This indicator measures the percentage of a country's current health expenditure that is financed from external sources, such as foreign aid, grants, and loans. It highlights a country's reliance on external funding for healthcare, informing policy decisions on healthcare financing and sustainability.",,0.45711282,0.65455669,0.93984002,0.32120803,1.01806724,1.09044969,0.31129405,0.29096925,0.18119994,0.73660624,2.04626346,3.62300873,,,85.71428571428571
"Newborns protected against tetanus (%), NTET","This indicator measures the percentage of newborns protected against tetanus, reflecting the proportion of mothers of childbearing age immunized against tetanus. It's crucial for preventing maternal and neonatal tetanus, a significant cause of mortality. The indicator is typically used to track progress towards eliminating maternal and neonatal tetanus.",WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/).,89.0,89.0,89.0,89.0,88.0,88.0,88.0,88.0,88.0,90.0,90.0,90.0,93.0,,92.85714285714286
UHC service coverage index,"The UHC service coverage index measures the average coverage of essential health services, including reproductive, maternal, and child health, infectious diseases, and non-communicable diseases. It's crucial for tracking progress towards Universal Health Coverage (UHC) and informing health policy decisions. It's typically used to monitor health system performance and identify gaps in service delivery.",,58.0,,,,,65.0,,69.0,,68.0,,69.0,,,35.714285714285715
"Suicide mortality rate (per 100,000 people) - SMR","This indicator measures the number of suicide deaths per 100,000 people, providing a standardized rate of suicide mortality. It's crucial for monitoring mental health trends, identifying high-risk groups, and informing prevention strategies. Typically used by policymakers, researchers, and health professionals to track progress and allocate resources effectively.","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",9.2,9.2,8.9,8.0,7.7,7.4,7.2,7.1,7.2,7.2,,,,,71.42857142857143
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)","This indicator measures the percentage of children under 5 who suffer from stunting, a condition where their height is below the average for their age due to chronic malnutrition. It's crucial for tracking child health and nutrition, and is used to monitor progress towards global development goals and inform policy interventions.",,16.8,16.3,15.8,15.4,15.1,14.8,14.6,14.3,14.1,13.8,13.4,13.1,12.8,,92.85714285714286
